"","hhid","ffexwkpc","lny","mothed","fathed","mothage","fathage","nutrsc1","qrpcorn","qrprice","popden","adeqvhh","rd1","rd2","rd3","cultarpc","avnetwth","electr"
"1",2,61.24622,4.502353,6,6,44.23056,47.92222,6,4.42,4.795696,135,4.709302,1,0,0,0.7916667,28637,1
"2",2,61.66608,4.502353,6,6,44.23056,48.23056,6,3.916656,4.550141,135,4.709302,0,1,0,0.7916667,28637,1
"3",2,47.44417,4.502353,6,6,44.23056,48.56944,6,3.35745,4.676459,135,4.655039,0,0,1,0.6785714,28637,1
"4",2,37.09329,4.502353,6,6,44.23056,48.85556,6,3.910025,4.684995,135,4.655039,0,0,0,0.6785714,28637,1
"5",4,66.36023,3.140018,10,10,28.71389,32.75834,12,4.42,5.519348,135,5.131783,1,0,0,0.3214286,883,1
"6",4,31.86893,3.140018,10,10,28.71389,33.08333,12,3.523493,5.087698,135,4.96124,0,1,0,0.3214286,883,1
"7",4,74.76464,3.140018,10,10,28.71389,33.43055,12,3.438893,4.855492,135,5.178295,0,0,1,0.3214286,883,1
"8",4,67.53773,3.140018,10,10,28.71389,33.71389,12,3.315964,6.202843,135,5.178295,0,0,0,0.3214286,883,1
"9",5,43.36821,4.889728,10,6,23.05278,27.08889,6,4.42,5.625089,135,2.930233,1,0,0,0.5,7395,1
"10",5,53.45013,4.889728,10,6,23.05278,27.41944,6,4.112199,4.686125,135,2.75969,0,1,0,0.5,7395,1
"11",5,51.43257,4.889728,10,6,23.05278,27.76111,6,3.91521,5.053048,135,2.75969,0,0,1,0.5,7395,1
"12",5,62.2723,4.889728,10,6,23.05278,28.05,6,3.565156,4.728468,135,2.75969,0,0,0,0.5,7395,1
"13",6,52.15894,2.270477,13,5,24.26111,27.90556,5,4.42,4.775291,135,2.841085,1,0,0,0.25,2407.5,1
"14",6,49.33825,2.270477,13,5,24.26111,28.25,5,3.916656,4.313901,135,2.422481,0,1,0,0.25,2407.5,1
"15",6,29.43984,2.270477,13,5,24.26111,28.58333,5,4.388322,4.525537,135,2.930233,0,0,1,0.25,2407.5,1
"16",6,37.28777,2.270477,13,5,24.26111,28.91667,5,3.146295,5.494744,135,2.887597,0,0,0,0.25,2407.5,1
"17",8,36.04488,3.87925,6,6,28.95,31.4,5,3.28352,4.576408,135,2.333333,1,0,0,0,2061,0
"18",8,36.85175,3.87925,6,6,28.95,31.73611,5,3.916656,4.752439,135,2.422481,0,1,0,0,2061,0
"19",8,36.33585,3.87925,6,6,28.95,32.07222,5,4.182978,5.347401,135,2.251938,0,0,1,0,2061,0
"20",8,24.88958,3.87925,6,6,28.95,32.36111,5,2.67341,4.843226,135,2.251938,0,0,0,0,2061,0
"21",10,56.48842,3.182991,4,4,34.65833,34.46389,5,3.144788,5.634892,135,4.418605,1,0,0,0.3333333,2476.5,0
"22",10,37.04232,3.182991,4,4,34.65833,34.76667,5,4.30372,4.388111,135,4.248062,0,1,0,0.3333333,2476.5,0
"23",10,29.48398,3.182991,4,4,34.65833,35.10556,5,4.148804,4.695135,135,4.337209,0,0,1,0.3333333,2476.5,0
"24",10,23.76824,3.182991,4,4,34.65833,35.39722,5,4.25969,4.766258,135,4.337209,0,0,0,0.3333333,2476.5,0
"25",12,44.76469,3.838842,9,6,45.52778,42.36666,7,2.42474,4.719973,135,5.887597,1,0,0,0.4285714,23697.5,1
"26",12,31.66525,3.838842,9,6,45.52778,42.68333,7,3.771431,4.062264,135,5.887597,0,1,0,0.375,23697.5,1
"27",12,29.10143,3.838842,9,6,45.52778,43.01667,7,3.940462,5.241601,135,5.887597,0,0,1,0.2727273,23697.5,1
